Year,Month,Day,Hour,Minute,Occupancy
2018,1,29,4,13,Empty
2018,1,29,4,41,Empty
2018,1,20,6,5,Empty
2018,1,20,6,13,Empty
2018,1,20,7,29,Empty
2018,2,9,9,56,Occupied
2018,2,9,10,36,Empty
2018,2,9,10,53,Occupied
2018,2,9,11,11,Empty
2018,2,9,11,53,Empty
2018,1,29,8,14,Empty
2018,1,24,7,7,Empty
2018,1,15,2,42,Empty
2018,1,15,3,38,Empty
2018,1,15,3,52,Empty
2018,1,15,4,49,Empty
2018,1,15,5,10,Empty
2018,2,8,14,30,Empty
2018,2,16,4,49,Empty
2018,2,16,5,4,Empty
2018,1,15,12,32,Empty
2018,1,29,23,16,Occupied
2018,1,19,19,25,Empty
2018,1,19,20,14,Empty
2018,2,14,20,53,Empty
2018,2,14,21,16,Occupied
2018,2,14,22,13,Occupied
2018,2,14,22,46,Empty
2018,1,26,20,17,Occupied
2018,2,13,23,22,Empty
2018,2,14,1,9,Empty
2018,2,14,2,32,Empty
2018,2,14,2,40,Empty
2018,1,15,13,6,Empty
2018,1,14,2,34,Empty
2018,1,14,20,50,Empty
2018,1,14,21,1,Occupied
2018,1,14,21,47,Empty
2018,2,10,0,51,Occupied
2018,2,10,1,18,Empty
2018,2,10,1,45,Occupied
2018,2,7,14,43,Empty
2018,2,16,23,50,Empty
2018,2,17,0,29,Empty
2018,1,27,8,20,Empty
2018,1,27,8,57,Empty
2018,1,27,9,21,Empty
2018,1,5,17,56,Empty
2018,1,5,18,16,Empty
2018,1,5,19,9,Empty
2018,1,14,9,9,Empty
2018,1,14,9,15,Empty
2018,1,14,9,57,Empty
2018,1,14,11,4,Empty
2018,1,23,8,5,Empty
2018,1,23,8,29,Empty
2018,2,9,1,12,Empty
2018,1,14,12,16,Empty
2018,1,14,12,51,Empty
2018,2,15,12,45,Empty
2018,2,15,13,43,Occupied
2018,2,15,14,19,Empty
2018,2,15,14,55,Occupied
2018,2,15,15,59,Occupied
2018,2,17,8,33,Empty
2018,2,11,15,45,Occupied
2018,2,11,16,7,Empty
2018,2,11,16,36,Empty
2018,2,6,14,9,Occupied
2018,2,6,15,44,Empty
2018,2,13,14,30,Empty
2018,2,13,15,52,Occupied
2018,1,29,13,33,Occupied
2018,1,12,13,13,Occupied
2018,1,12,14,32,Empty
2018,1,12,14,44,Occupied
2018,2,15,12,50,Occupied
2018,1,13,13,18,Empty
2018,2,14,17,59,Empty
2018,2,11,11,41,Empty
2018,2,11,11,53,Empty
2018,2,11,12,17,Empty
2018,1,6,10,26,Occupied
2018,1,6,12,3,Empty
2018,1,6,12,21,Empty
2018,1,6,13,58,Empty
2018,1,6,16,24,Empty
2018,1,6,17,24,Empty
2018,1,29,17,10,Empty
2018,1,29,17,40,Empty
2018,1,29,18,12,Empty
2018,2,14,7,55,Empty
2018,2,14,9,25,Empty
2018,2,14,10,13,Empty
2018,2,14,10,19,Empty
2018,2,14,10,31,Occupied
2018,2,14,10,43,Empty
2018,2,7,3,34,Empty
2018,1,24,5,22,Empty
2018,1,23,20,6,Empty
2018,1,23,21,18,Occupied
2018,1,23,21,23,Occupied
2018,1,23,23,44,Occupied
2018,1,24,0,18,Empty
2018,2,7,11,33,Empty
2018,1,5,19,15,Empty
2018,1,5,19,52,Empty
2018,1,5,20,16,Empty
2018,1,5,21,49,Empty
2018,1,21,16,45,Empty
2018,1,21,17,16,Occupied
2018,1,21,18,18,Empty
2018,1,21,19,32,Empty
2018,1,24,7,38,Empty
2018,2,14,2,24,Empty
2018,2,14,4,18,Empty
2018,2,14,5,3,Empty
2018,1,5,17,34,Empty
2018,1,5,18,22,Empty
2018,1,5,20,10,Empty
2018,1,5,20,56,Occupied
2018,1,5,21,43,Empty
2018,1,5,21,55,Empty
2018,1,20,15,54,Empty
2018,1,20,16,23,Empty
2018,1,20,17,24,Empty
2018,1,20,17,36,Empty
2018,1,30,2,5,Empty
2018,1,30,3,23,Empty
2018,1,30,3,37,Empty
2018,1,30,4,33,Empty
2018,1,30,5,8,Empty
2018,1,7,7,25,Empty
2018,1,7,9,57,Empty
2018,1,7,10,3,Empty
2018,1,7,10,51,Empty
2018,1,7,12,10,Empty
2018,1,7,13,53,Empty
2018,2,14,5,56,Empty
2018,1,28,18,12,Empty
2018,1,28,18,52,Empty
2018,1,28,19,41,Empty
2018,1,28,20,52,Empty
2018,1,22,16,9,Empty
2018,1,30,8,16,Empty
2018,2,11,8,58,Empty
2018,2,11,10,23,Empty
2018,2,11,13,9,Empty
2018,2,15,8,31,Empty
2018,2,15,8,50,Empty
2018,2,15,9,2,Empty
2018,2,8,18,7,Empty
2018,1,20,15,26,Occupied
2018,1,30,16,43,Occupied
2018,2,14,12,37,Empty
2018,2,14,13,31,Empty
2018,2,14,15,20,Empty
2018,1,15,9,55,Empty
2018,1,15,20,33,Empty
2018,1,15,21,19,Empty
2018,1,15,23,51,Empty
2018,1,16,1,4,Empty
2018,2,9,5,59,Empty
2018,2,9,6,40,Empty
2018,1,21,16,20,Empty
2018,1,21,16,26,Empty
2018,1,21,17,4,Empty
2018,1,21,17,28,Empty
2018,1,21,20,1,Occupied
2018,1,21,20,27,Occupied
2018,1,21,6,17,Empty
2018,1,21,7,45,Empty
2018,2,16,17,18,Empty
2018,2,16,17,24,Empty
2018,1,14,7,31,Empty
2018,1,14,7,44,Empty
2018,1,14,8,38,Empty
2018,1,24,8,43,Occupied
2018,2,13,15,13,Occupied
2018,2,13,16,32,Occupied
2018,1,20,23,0,Occupied
2018,1,20,23,54,Empty
2018,1,21,1,17,Occupied
2018,1,21,2,32,Occupied
2018,1,21,2,57,Empty
2018,1,5,11,56,Occupied
2018,1,5,13,53,Occupied
2018,1,5,14,48,Empty
2018,1,5,15,55,Empty
2018,1,28,9,25,Empty
2018,1,28,10,20,Empty
2018,1,28,11,8,Empty
2018,1,28,11,45,Empty
2018,1,28,12,3,Empty
2018,1,28,12,39,Empty
2018,1,30,6,48,Empty
2018,1,21,13,51,Occupied
2018,1,21,14,28,Occupied
2018,1,23,17,42,Empty
2018,2,13,18,20,Empty
2018,2,13,18,33,Empty
2018,2,13,18,39,Empty
2018,2,13,18,56,Empty
2018,2,13,19,36,Occupied
2018,2,13,20,9,Occupied
2018,2,13,10,37,Empty
2018,2,13,12,1,Empty
2018,2,13,12,31,Empty
2018,1,29,12,59,Empty
2018,1,29,13,28,Occupied
2018,2,9,7,2,Empty
2018,2,9,7,32,Empty
2018,2,9,8,15,Empty
